Run,BatchSize,LearningRate,Epochs,TrainAccuracy,TrainLoss,ValAccuracy,ValLoss,GPUCount,MergeType,PreTrain,TrainTime,SavePathOutput
10,64,0,50,11.11384010806828,3.655064642429352,11.07424305267524,3.656658912959852,6,MinimumWeight,False,2652.4339838027954,../SynchronizationProject/SaveData/ProcessedWeights/10MinimumWeight.pth
10,64,0,50,11.00331573130296,3.6068314909934998,11.032766486934882,3.60635927476381,6,MedianWeight,False,2652.4339838027954,../SynchronizationProject/SaveData/ProcessedWeights/10MedianWeight.pth
10,64,0,50,11.11384010806828,3.554228952154517,11.07424305267524,3.5569051253168205,6,MeanWeight,False,2652.4339838027954,../SynchronizationProject/SaveData/ProcessedWeights/10MeanWeight.pth
11,64,0,50,1.5964632199435098,4.096628187224269,1.1613438407299876,4.05232542439511,10,MaximumWeight,False,2103.5844542980194,../SynchronizationProject/SaveData/ProcessedWeights/11MaximumWeight.pth
11,64,0,50,0.44209750706127965,3.960816925391555,0.4562422231439237,3.9595224982813786,10,MinimumWeight,False,2103.5844542980194,../SynchronizationProject/SaveData/ProcessedWeights/11MinimumWeight.pth
11,64,0,50,9.922632936264277,3.8539523351937532,9.746992948983824,3.853904655105189,10,MedianWeight,False,2103.5844542980194,../SynchronizationProject/SaveData/ProcessedWeights/11MedianWeight.pth
11,64,0,50,10.941913299766671,3.8538775853812695,10.700953961012027,3.85528554414448,10,MeanWeight,False,2103.5844542980194,../SynchronizationProject/SaveData/ProcessedWeights/11MeanWeight.pth
12,64,0,50,98.98071963649761,0.031854147384365206,36.623807548734966,5.164019258398759,1,NONE,False,12974.268857479095,../SynchronizationProject/SaveData/ProcessedWeights/12.pth
13,64,0,50,4.371853125383765,8.911243759095669,4.189133139776026,8.626959411721481,3,MaximumWeight,False,5298.145567178726,../SynchronizationProject/SaveData/ProcessedWeights/13MaximumWeight.pth
13,64,0,50,11.11384010806828,11.637623697519302,11.07424305267524,11.528110453957005,3,MinimumWeight,False,5298.145567178726,../SynchronizationProject/SaveData/ProcessedWeights/13MinimumWeight.pth
13,64,0,50,7.527938106349011,6.594455696642399,7.590211530485276,6.591786158712287,3,MedianWeight,False,5298.145567178726,../SynchronizationProject/SaveData/ProcessedWeights/13MedianWeight.pth
13,64,0,50,8.657742846616726,7.077094614505768,8.004977187888842,7.098881846980045,3,MeanWeight,False,5298.145567178726,../SynchronizationProject/SaveData/ProcessedWeights/13MeanWeight.pth
14,64,0,50,6.127962667321626,13.990983832627535,5.889672335130651,13.699796500958895,6,MaximumWeight,False,3260.636246204376,../SynchronizationProject/SaveData/ProcessedWeights/14MaximumWeight.pth
14,64,0,50,11.11384010806828,11.712578244507313,11.07424305267524,11.565391440140573,6,MinimumWeight,False,3260.636246204376,../SynchronizationProject/SaveData/ProcessedWeights/14MinimumWeight.pth
14,64,0,50,8.719145278153015,6.565803676843643,8.834508502695977,6.570025042483681,6,MedianWeight,False,3260.636246204376,../SynchronizationProject/SaveData/ProcessedWeights/14MedianWeight.pth
14,64,0,50,11.05243767653199,6.394625514745712,11.032766486934882,6.407902479171753,6,MeanWeight,False,3260.636246204376,../SynchronizationProject/SaveData/ProcessedWeights/14MeanWeight.pth
15,64,0,50,0.4789389659830529,11.91197905689478,0.4562422231439237,11.451721442373175,10,MaximumWeight,False,2707.4428646564484,../SynchronizationProject/SaveData/ProcessedWeights/15MaximumWeight.pth
15,64,0,50,11.11384010806828,9.417619686573744,11.07424305267524,9.292305557351364,10,MinimumWeight,False,2707.4428646564484,../SynchronizationProject/SaveData/ProcessedWeights/15MinimumWeight.pth
15,64,0,50,11.11384010806828,4.671072473749518,11.07424305267524,4.672701358795166,10,MedianWeight,False,2707.4428646564484,../SynchronizationProject/SaveData/ProcessedWeights/15MedianWeight.pth
15,64,0,50,11.11384010806828,4.5826316606253386,11.07424305267524,4.594822111882661,10,MeanWeight,False,2707.4428646564484,../SynchronizationProject/SaveData/ProcessedWeights/15MeanWeight.pth
