Run,BatchSize,LearningRate,Epochs,TrainAccuracy,TrainLoss,TrainHistory,ValAccuracy,ValLoss,ValHistory,GPUCount,PreTrain,SyncAmount,MergeType,TrainTime,SavePathInput,SavePathOutput
0,32,0.0001,30,99.98771951369274,0.0013683876902944,,20.36499377851514,5.352940998579326,,1,True,1,NONE,3246.804966688156,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/0.pth
1,32,0.0001,30,53.40783495026403,2.136251351178861,,16.756532559104105,4.647627055644989,,3,True,1,MeanWeight,1420.3207008838654,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/1MeanWeight.pth
1,32,0.0001,30,53.10082279258258,2.10624272776585,,18.249688925756946,4.704306147600475,,3,True,1,MaximumWeight,1424.65815671285,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/1MaximumWeight.pth
1,32,0.0001,30,53.567481272258384,2.0537033670088825,,19.411032766486937,4.5530739803063245,,3,True,1,MinimumWeight,1422.7506190935771,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/1MinimumWeight.pth
1,32,0.0001,30,54.255188505464815,2.0383955546453887,,17.71049357113231,4.637630437549792,,3,True,1,MedianWeight,1419.7559074560802,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/1MedianWeight.pth
2,32,0.0001,30,87.19145278153015,0.4091485355998955,,20.48942347573621,4.286416003578587,,3,True,3,MinimumWeight,1427.9796637694042,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/2MinimumWeight.pth
2,32,0.0001,30,86.77391624708338,0.4443035821996483,,21.0700953961012,4.208742728358821,,3,True,3,MedianWeight,1419.323161204656,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/2MedianWeight.pth
2,32,0.0001,30,86.3318187400221,0.4340111633434015,,21.899626710908336,4.256384065276698,,3,True,3,MeanWeight,1415.9481624762218,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/2MeanWeight.pth
2,32,0.0001,30,87.55986737074788,0.4063221507797054,,21.775197013687265,4.235407217552788,,3,True,3,MaximumWeight,1419.135626077652,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/2MaximumWeight.pth
3,32,0.0001,30,96.31585410782267,0.1213879791544933,,19.867274989630857,4.972280295271623,,3,True,5,MaximumWeight,1415.7989110151927,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/3MaximumWeight.pth
3,32,0.0001,30,95.67726881984528,0.1431805664892582,,20.03318125259229,5.017100814141725,,3,True,5,MinimumWeight,1412.5374500751495,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/3MinimumWeight.pth
3,32,0.0001,30,96.75795161488396,0.1053585103292967,,20.94566569888013,4.854669304270494,,3,True,5,MedianWeight,1413.700198173523,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/3MedianWeight.pth
3,32,0.0001,30,95.61586638830896,0.1452719864453755,,20.19908751555371,4.99514621182492,,3,True,5,MeanWeight,1413.0298981666565,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/3MeanWeight.pth
4,32,0.0001,30,96.14392729952108,0.1238861794400887,,18.291165491497303,5.526573570151078,,3,True,10,MeanWeight,1412.853357076645,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/4MeanWeight.pth
4,32,0.0001,30,96.81935404642024,0.1012885834437374,,17.420157610949815,5.51003182561774,,3,True,10,MaximumWeight,1410.7008978525798,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/4MaximumWeight.pth
4,32,0.0001,30,98.15792705391134,0.062776599802515,,19.1621733720448,5.551418483257294,,3,True,10,MinimumWeight,1412.4590944449108,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/4MinimumWeight.pth
4,32,0.0001,30,98.6000245609726,0.0468198372265689,,18.70593114890087,5.478495243348573,,3,True,10,MedianWeight,1415.3139164447784,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/4MedianWeight.pth
5,32,0.0001,30,36.91514183961685,3.119147143644445,,16.175860638739113,4.768897790657847,,5,True,1,MaximumWeight,1062.620166826248,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/5MaximumWeight.pth
5,32,0.0001,30,39.27299521061034,2.92547717702155,,15.470759021153048,4.771403871084514,,5,True,1,MinimumWeight,1061.2401500701903,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/5MinimumWeight.pth
5,32,0.0001,30,38.43792214171681,3.0659173544715435,,14.80713396930734,4.892496344290282,,5,True,1,MedianWeight,1060.1282669067382,../SynchronizationProject/SaveData/PreSave15.pth,../SynchronizationProject/SaveData/Weights/5MedianWeight.pth
